lname,fname,position,team,points
Abreu,Jose,1B,UNA,0
Ackley,Dustin,2B,SEA,325
Adams,Matt,1B,STL,326
Alonso,Yonder,1B,SD,353
Altuve,Jose,2B,HOU,610
Alvarez,Pedro,3B,PIT,514
Andrus,Elvis,SS,TEX,702
Aoki,Norichika,OF,MIL,660
Appel,Mark,SP,HOU,0
Archer,Chris,SP,TB,417
Arcia,Oswaldo,OF,MIN,269
Arenado,Nolan,3B,COL,447
Arencibia,J.P.,C,TOR,330
Arroyo,Bronson,SP,CIN,585
Aviles,Mike,SS,CLE,390
Aybar,Erick,SS,LAA,564
Baez,Javier,SS,CHC,0
Bailey,Homer,SP,CIN,695.5
Balfour,Grant,RP,OAK,551
Bautista,Jose,RF,TOR,578
Beachy,Brandon,SP,ATL,112
Beckham,Gordon,2B,CHW,342
Belt,Brandon,1B,SF,578
Beltran,Carlos,CF,STL,652
Beltre,Adrian,3B,TEX,781
Benoit,Joaquin,RP,DET,512
Betancourt,Yuniesky,2B,MIL,292
Bogaerts,Xander,SS,BOS,45
Bourn,Michael,CF,CLE,506
Bradley,Archie,SP,ARI,0
Bradley,Jackie,CF,BOS,84
Brantley,Michael,CF,CLE,632
Braun,Ryan,LF,MIL,261
Brown,Domonic,RF,PHI,569
Bruce,Jay,RF,CIN,680
Buchholz,Clay,SP,BOS,473
Buehrle,Mark,SP,TOR,564.5
Bumgarner,Madison,SP,SF,794.5
Bundy,Dylan,RP,BAL,0
Burnett,A.J.,SP,PIT,626
Butler,Billy,1B,KC,620
Buxton,Byron,OF,MIN,0
Cabrera,Asdrubal,SS,CLE,497
Cabrera,Everth,SS,SD,455
Cabrera,Miguel,3B,DET,925
Cahill,Trevor,SP,ARI,462.5
Cain,Matt,SP,SF,601.5
Calhoun,Kole,RF,LAA,226
Cano,Robinson,2B,NYY,805
Carpenter,Chris,SP,STL,0
Carpenter,Matt,1B,STL,864
Carter,Chris,1B,HOU,431
Castellanos,Nick,3B,DET,11
Castillo,Welington,C,CHC,379
Castro,Jason,C,HOU,491
Castro,Starlin,SS,CHC,475
Cecchini,Garin,3B,BOS,0
Cespedes,Yoenis,CF,OAK,517
Chacin,Jhoulys,SP,COL,609
Chapman,Aroldis,RP,CIN,608
Chen,Wei-Yin,SP,BAL,400.5
Choo,Shin-Soo,RF,CIN,737
Cingrani,Tony,RP,CIN,394.8
Cishek,Steve,RP,MIA,587
Cobb,Alex,SP,TB,542.5
Cole,Gerrit,SP,PIT,413
Colon,Bartolo,SP,OAK,674
Corbin,Patrick,SP,ARI,696.5
Correa,Carlos,SS,HOU,0
Cosart,Jarred,SP,HOU,234.5
Cozart,Zack,SS,CIN,526
Craig,Allen,1B,STL,642
Crawford,Carl,LF,LAD,458
Crisp,Coco,CF,OAK,661
Cruz,Nelson,RF,TEX,441
Cuddyer,Michael,RF,COL,646
Cueto,Johnny,SP,CIN,232
d'Arnaud,Travis,C,NYM,60
Darvish,Yu,SP,TEX,795
Davidson,Matt,3B,ARI,70
Davis,Chris,RF,BAL,798
Davis,Khris,LF,MIL,189
De Aza,Alejandro,CF,CHW,599
De La Rosa,Jorge,SP,COL,479
Desmond,Ian,SS,WAS,636
Dickey,R.A.,SP,TOR,662.5
Dirks,Andy,CF,DET,413
Dominguez,Matt,3B,HOU,499
Donaldson,Josh,3B,OAK,742
Doubront,Felix,SP,BOS,437.5
Dozier,Brian,SS,MIN,550
Dozier,Hunter,SS,KC,0
Drew,Stephen,SS,BOS,456
Duffy,Danny,SP,KC,106.5
Dunn,Adam,1B,CHW,460
Eaton,Adam,LF,ARI,253
Ellis,A.J.,C,LAD,421
Ellis,Mark,2B,LAD,413
Ellsbury,Jacoby,CF,BOS,731
Escobar,Alcides,SS,KC,511
Escobar,Yunel,SS,TB,508
Estrada,Marco,SP,MIL,429
Ethier,Andre,RF,LAD,490
Farquhar,Danny,RP,SEA,349
Feldman,Scott,SP,BAL,579
Fernandez,Jose,SP,MIA,742
Fielder,Prince,1B,DET,731
Fister,Doug,SP,DET,661
Flores,Wilmer,3B,NYM,69
Fowler,Dexter,CF,COL,471
Frazier,Todd,3B,CIN,505
Freeman,Freddie,1B,ATL,741
Freese,David,3B,STL,429
Gallardo,Yovani,SP,MIL,550.5
Garcia,Avisail,CF,CHW,225
Gardner,Brett,CF,NYY,583
Garza,Matt,SP,TEX,506
Gattis,Evan,OF,ATL,382
Gausman,Kevin,SP,BAL,156
Gee,Dillon,SP,NYM,633.5
Gennett,Scooter,2B,MIL,234
Gibson,Kyle,SP,MIN,80
Goins,Ryan,SS,TOR,78
Goldschmidt,Paul,1B,ARI,850
Gomez,Carlos,CF,MIL,635
Gonzalez,Adrian,1B,LAD,674
Gonzalez,Carlos,LF,COL,531
Gonzalez,Gio,SP,WAS,682
Gonzalez,Miguel Alfredo,SP,PHI,0
Gordon,Alex,LF,KC,666
Granderson,Curtis,CF,NYY,186
Gray,Sonny,SP,OAK,301
Gregg,Kevin,RP,CHC,463
Greinke,Zack,SP,LAD,634.5
Griffin,A.J.,SP,OAK,692
Grilli,Jason,RP,PIT,484
Guthrie,Jeremy,SP,KC,572
Gyorko,Jedd,3B,SD,442
Halladay,Roy,SP,PHI,166
Hamels,Cole,SP,PHI,687
Hamilton,Billy,SS,CIN,60
Hamilton,Josh,CF,LAA,535
Hardy,J.J.,SS,BAL,613
Haren,Dan,SP,WAS,493
Harper,Bryce,RF,WAS,526
Harvey,Matt,SP,NYM,715.5
Headley,Chase,3B,SD,467
Heaney,Andrew,SP,MIA,0
Hefner,Jeremy,SP,NYM,392.5
Hellickson,Jeremy,SP,TB,469.5
Henderson,Jim,RP,MIL,487
Hernandez,Felix,SP,SEA,725
Heyward,Jason,RF,ATL,418
Hill,Aaron,2B,ARI,373
Hoes,L.J.,OF,HOU,161
Holland,Derek,SP,TEX,723.5
Holland,Greg,RP,KC,727
Holliday,Matt,LF,STL,732
Hosmer,Eric,1B,KC,716
Hughes,Phil,SP,NYY,380
Hultzen,Danny,SP,SEA,0
Hunter,Torii,CF,DET,691
Iglesias,Jose,SS,DET,340
Infante,Omar,2B,DET,508
Iwakuma,Hisashi,SP,SEA,828.5
Jackson,Austin,CF,DET,575
Jansen,Kenley,RP,LAD,627
Janssen,Casey,RP,TOR,495
Jay,Jon,CF,STL,594
Jennings,Desmond,CF,TB,565
Jeter,Derek,SS,NYY,52
Jimenez,Ubaldo,SP,CLE,588
Johnson,Chris,3B,ATL,515
Johnson,Jim,RP,BAL,610
Johnson,Josh,SP,TOR,134.5
Jones,Adam,CF,BAL,764
Kelly,Joe,SP,STL,473.5
Kemp,Matt,CF,LAD,254
Kendrick,Howard,2B,LAA,478
Kennedy,Ian,SP,SD,467
Kershaw,Clayton,SP,LAD,955.5
Kimbrel,Craig,RP,ATL,739
Kinsler,Ian,2B,TEX,674
Kipnis,Jason,2B,CLE,701
Kuroda,Hiroki,SP,NYY,633
Lackey,John,SP,BOS,670.5
Lake,Junior,SS,CHC,192
Latos,Mat,SP,CIN,709
Lawrie,Brett,3B,TOR,385
Leake,Mike,SP,CIN,656.5
Lee,Cliff,SP,PHI,877
Lester,Jon,SP,BOS,669
Lincecum,Tim,SP,SF,615.5
Lind,Adam,1B,TOR,517
Lindor,Francisco,SS,CLE,0
Liriano,Francisco,SP,PIT,597
Locke,Jeff,SP,PIT,526.5
Lohse,Kyle,SP,MIL,633
Loney,James,1B,TB,589
Longoria,Evan,3B,TB,643
Lowrie,Jed,SS,OAK,671
Lucroy,Jonathan,C,MIL,650
Lynn,Lance,SP,STL,629
Machado,Manny,3B,BAL,681
Maholm,Paul,SP,ATL,423
Marisnick,Jake,CF,MIA,51
Markakis,Nick,RF,BAL,639
Marte,Starling,CF,PIT,548
Martin,Leonys,OF,TEX,504
Martin,Russell,C,PIT,477
Martinez,Carlos,SP,STL,114
Martinez,Victor,DH,DET,684
Masterson,Justin,SP,CLE,664.5
Mauer,Joe,C,MIN,550
McCann,Brian,C,ATL,413
McCutchen,Andrew,CF,PIT,813
McLouth,Nate,CF,BAL,566
Medlen,Kris,RP,ATL,703
Melancon,Mark,RP,PIT,476
Middlebrooks,Will,3B,BOS,290
Miley,Wade,SP,ARI,609
Miller,Brad,SS,SEA,321
Miller,Shelby,RP,STL,651
Minor,Mike,SP,ATL,723.5
Molina,Yadier,C,STL,679
Montero,Jesus,C,SEA,63
Montero,Rafael,RP,NYM,0
Moore,Matt,SP,TB,486
Morales,Kendrys,1B,SEA,598
Moreland,Mitch,1B,TEX,421
Morneau,Justin,1B,PIT,562
Morse,Michael,LF,BAL,207
Moss,Brandon,1B,OAK,522
Moustakas,Mike,3B,KC,368
Mujica,Edward,RP,STL,530
Murphy,Daniel,2B,NYM,740
Murphy,David,LF,TEX,390
Myers,Wil,RF,TB,376
Napoli,Mike,C,BOS,541
Nathan,Joe,RP,TEX,663
Nava,Daniel,RF,BOS,570
Niese,Jonathon,SP,NYM,437.5
Nolasco,Ricky,SP,LAD,646.5
Norris,Bud,SP,BAL,501.5
Nova,Ivan,SP,NYY,565
Oberholtzer,Brett,SP,HOU,262
Ortiz,David,DH,BOS,740
Pagan,Angel,CF,SF,330
Papelbon,Jonathan,RP,PHI,464
Parker,Jarrod,SP,OAK,616.5
Parra,Gerardo,LF,ARI,589
Peavy,Jake,SP,BOS,479.5
Pedroia,Dustin,2B,BOS,793
Pence,Hunter,RF,SF,767
Perez,Chris,RP,CLE,355
Perez,Martin,SP,TEX,396.5
Perez,Salvador,C,KC,584
Perkins,Glen,RP,MIN,568
Phillips,Brandon,2B,CIN,667
Pierzynski,A.J.,C,TEX,532
Pineda,Michael,SP,NYY,0
Porcello,Rick,SP,DET,579.5
Posey,Buster,C,SF,662
Prado,Martin,LF,ARI,668
Price,David,SP,TB,538.5
Profar,Jurickson,2B,TEX,236
Puig,Yasiel,OF,LAD,460
Pujols,Albert,1B,LAA,437
Quintana,Jose,SP,CHW,670.5
Ramirez,Alexei,SS,CHW,640
Ramirez,Aramis,3B,MIL,366
Ramirez,Hanley,3B,LAD,486
Ramos,Wilson,C,WAS,345
Rasmus,Colby,CF,TOR,425
Reed,Addison,RP,CHW,567
Revere,Ben,CF,PHI,323
Reyes,Jose,SS,TOR,452
Rios,Alex,CF,TEX,715
Rivera,Mariano,RP,NYY,600
Rizzo,Anthony,1B,CHC,599
Rodney,Fernando,RP,TB,531
Rodriguez,Alex,3B,NYY,153
Rollins,Jimmy,SS,PHI,550
Romo,Sergio,RP,SF,540
Rosario,Wilin,C,COL,535
Rosenthal,Trevor,RP,STL,386
Ruf,Darin,LF,PHI,226
Ruiz,Carlos,C,PHI,344
Ryu,Hyun-Jin,SP,LAD,706.5
Sabathia,CC,SP,NYY,617.5
Salazar,Danny,SP,CLE,229
Sale,Chris,SP,CHW,781.5
Saltalamacchia,Jarrod,C,BOS,504
Samardzija,Jeff,SP,CHC,557.5
Sanchez,Anibal,SP,DET,748
Sandoval,Pablo,3B,SF,552
Sano,Miguel,3B,MIN,0
Santana,Carlos,C,CLE,653
Santana,Ervin,SP,KC,655.5
Scherzer,Max,SP,DET,853.5
Scutaro,Marco,2B,SF,507
Seager,Kyle,3B,SEA,632
Segura,Jean,SS,MIL,641
Shields,James,SP,KC,737.5
Shuck,J.B.,CF,LAA,456
Simmons,Andrelton,SS,ATL,604
Skaggs,Tyler,SP,ARI,115
Soriano,Alfonso,LF,NYY,634
Soriano,Rafael,RP,WAS,562
Span,Denard,CF,WAS,622
Springer,George,OF,HOU,0
Stanton,Giancarlo,RF,MIA,440
Stassi,Max,C,HOU,4
Straily,Dan,SP,OAK,500
Strasburg,Stephen,SP,WAS,629.5
Street,Huston,RP,SD,479
Stults,Eric,SP,SD,598.5
Suzuki,Ichiro,RF,NYY,481
Swisher,Nick,RF,CLE,529
Syndergaard,Noah,SP,NYM,0
Taillon,Jameson,SP,PIT,0
Tanaka,Masahiro,SP,UNA,0
Taveras,Oscar,CF,STL,0
Teheran,Julio,SP,ATL,661
Tillman,Chris,SP,BAL,610.5
Trout,Mike,CF,LAA,901
Trumbo,Mark,LF,LAA,586
Tulowitzki,Troy,SS,COL,605
Turner,Jacob,SP,MIA,343.5
Uehara,Koji,RP,BOS,604
Upton,Justin,RF,ATL,601
Utley,Chase,2B,PHI,575
Valbuena,Luis,3B,CHC,303
Vargas,Jason,SP,LAA,440
Venable,Will,RF,SD,491
Ventura,Yordano,SP,KC,44
Verlander,Justin,SP,DET,690.5
