fname,lname,points
Felix,Hernandez,930
Johnny,Cueto,928
Corey,Kluber,891.5
Michael,Brantley,882
Jose,Altuve,867
Jon,Lester,865
Adam,Wainwright,857.5
Clayton,Kershaw,855.5
David,Price,843.5
Max,Scherzer,843
Victor,Martinez,842
Mike,Trout,815
Miguel,Cabrera,804
Madison,Bumgarner,796
Julio,Teheran,795
Jose,Bautista,794
Zack,Greinke,789.5
Anthony,Rendon,787
Ian,Kinsler,785
Stephen,Strasburg,780
Albert,Pujols,761
Andrew,McCutchen,760
Chris,Sale,758
Jonathan,Lucroy,750
Jeff,Samardzija,749.5
Robinson,Cano,742
Phil,Hughes,742
Buster,Posey,726
Alfredo,Simon,725.5
Jordan,Zimmermann,725
Tanner,Roark,723
Jose,Abreu,721
Denard,Span,721
Tyson,Ross,717.5
Lance,Lynn,716
Dallas,Keuchel,715
Carlos,Carrasco,714
Adrian,Gonzalez,713
Brian,Dozier,712
Wade,Davis,711
Sonny,Gray,708.5
Jose,Reyes,708
Josh,Donaldson,707
Hunter,Pence,706
James,Shields,703.5
Giancarlo,Stanton,703
Nelson,Cruz,702
Cole,Hamels,697.5
Charlie,Blackmon,696
Carlos,Gomez,695
Freddie,Freeman,694
Adrian,Beltre,693
Matt,Holliday,693
Adam,Jones,691
Jayson,Werth,687
Matt,Carpenter,686
Jered,Weaver,685
Edinson,Volquez,683
Jose,Quintana,682
Rick,Porcello,681.5
Howie,Kendrick,680
Melky,Cabrera,676
Greg,Holland,675
Jake,Arrieta,672
Craig,Kimbrel,671
Alexei,Ramirez,671
Yasiel,Puig,669
Jacoby,Ellsbury,667
Chase,Utley,667
Dee,Gordon,665
Anthony,Rizzo,665
Scott,Kazmir,663.5
Yoenis,Cespedes,663
Kyle,Lohse,662.5
Mike,Leake,658.5
Chris,Archer,657.5
Josh,Collmenter,657
Alex,Wood,657
John,Lackey,656
Todd,Frazier,655
Ian,Kennedy,653
Brandon,McCarthy,651.5
Wei-Yin,Chen,650.5
Erick,Aybar,650
Mark,Buehrle,649
Hiroki,Kuroda,649
Bartolo,Colon,647
Wily,Peralta,643.5
Kyle,Seager,643
Evan,Longoria,642
Ben,Revere,640
Jake,Peavy,636.5
Alex,Gordon,636
Nick,Markakis,636
Christian,Yelich,636
Tom,Koehler,635
Yordano,Ventura,633.5
Edwin,Encarnacion,633
Henderson,Alvarez,631.5
Justin,Morneau,630
Chris,Tillman,629.5
Ben,Zobrist,628
Fernando,Rodney,626
Justin,Upton,626
David,Ortiz,625
Zack,Wheeler,625
Francisco,Rodriguez,623
Alcides,Escobar,622
Alex,Cobb,621.5
Jason,Heyward,621
Daniel,Murphy,621
Kenley,Jansen,619
Jason,Hammel,616
Collin,McHugh,616
R.A.,Dickey,614.5
Jonathon,Niese,614.5
Ervin,Santana,613.5
Josh,Harrison,612
Hisashi,Iwakuma,611
Justin,Verlander,609.5
Zach,Britton,609
Yovani,Gallardo,606.5
Trevor,Rosenthal,606
Matt,Kemp,605
Carlos,Santana,603
Jason,Vargas,603
Yusmeiro,Petit,602.5
Doug,Fister,602
Torii,Hunter,602
Adam,LaRoche,600
Jonathan,Papelbon,600
Brett,Gardner,599
Huston,Street,599
Mark,Melancon,597
Pablo,Sandoval,597
Yu,Darvish,595.5
David,Robertson,593
James,Loney,592
Shelby,Miller,589.5
Casey,McGehee,589
Neil,Walker,588
Lucas,Duda,587
Wade,Miley,587
Masahiro,Tanaka,584
Jimmy,Rollins,583
Aroldis,Chapman,578
Ian,Desmond,578
Billy,Hamilton,576
Jake,Odorizzi,575.5
Steve,Cishek,573
Salvador,Perez,571
Elvis,Andrus,570
Ryan,Braun,569
Corey,Dickerson,569
Jhonny,Peralta,566
Drew,Smyly,566
Dustin,Pedroia,565
Jarred,Cosart,562
Trevor,Plouffe,561
Danny,Duffy,560.5
Hanley,Ramirez,559
Kole,Calhoun,555
Starling,Marte,555
Tim,Hudson,554.5
Gio,Gonzalez,547.5
Norichika,Aoki,546
Dellin,Betances,545
Yan,Gomes,545
Nathan,Eovaldi,543
Marcell,Ozuna,543
Paul,Goldschmidt,541
Curtis,Granderson,540
Brian,McCann,539
Adam,Eaton,538
